areaCode,areaName,Geography1,population,county,govt_region,bbc_radio_station,bbc_region,bbc_online,bbc_region_old
K02000001,UNITED KINGDOM,Country,66796807,NA,NA,NA,NA,NA,NA
K03000001,GREAT BRITAIN,Country,64903140,NA,NA,NA,NA,NA,NA
K04000001,ENGLAND AND WALES,Country,59439840,NA,NA,NA,NA,NA,NA
E92000001,ENGLAND,Country,56286961,NA,NA,NA,NA,NA,NA
N92000002,NORTHERN IRELAND,Country,1893667,NA,NA,NA,NA,NA,NA
S92000003,SCOTLAND,Country,5463300,NA,NA,NA,NA,NA,NA
W92000004,WALES,Country,3152879,NA,NA,NA,NA,NA,NA
E12000001,NORTH EAST,Region,2669941,NA,NA,NA,NA,NA,NA
E06000047,County Durham,Unitary Authority,530094,County Durham,North East,BBC Newcastle,North East,Tyne and Wear,North East
E06000005,Darlington,Unitary Authority,106803,Tees Valley,North East,BBC Tees,North East,Tees,North East
E06000001,Hartlepool,Unitary Authority,93663,Tees Valley,North East,BBC Tees,North East,Tees,North East
E06000002,Middlesbrough,Unitary Authority,140980,Tees Valley,North East,BBC Tees,North East,Tees,North East
E06000057,Northumberland,Unitary Authority,322434,Northumberland,North East,BBC Newcastle,North East,Tyne and Wear,North East
E06000003,Redcar and Cleveland,Unitary Authority,137150,Tees Valley,North East,BBC Tees,North East,Tees,North East
E06000004,Stockton-on-Tees,Unitary Authority,197348,Tees Valley,North East,BBC Tees,North East,Tees,North East
E11000007,Tyne and Wear (Met County),Metropolitan County,1141469,NA,NA,NA,NA,NA,NA
E08000037,Gateshead,Metropolitan District,202055,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E08000021,Newcastle upon Tyne,Metropolitan District,302820,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E08000022,North Tyneside,Metropolitan District,207913,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E08000023,South Tyneside,Metropolitan District,150976,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E08000024,Sunderland,Metropolitan District,277705,Tyne and Wear,North East,BBC Newcastle,North East,Tyne and Wear,North East
E12000002,NORTH WEST,Region,7341196,NA,NA,NA,NA,NA,NA
E06000008,Blackburn with Darwen,Unitary Authority,149696,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E06000009,Blackpool,Unitary Authority,139446,Lancashire,North West,BBC Radio Lancashire,North West,Lancashire,North West
E06000049,Cheshire East,Unitary Authority,384152,Cheshire,North West,BBC Radio Stoke,North West,Liverpool,North West
E06000050,Cheshire West and Chester,Unitary Authority,343071,Cheshire,North West,BBC Radio Merseyside,North West,Liverpool,North West
E06000006,Halton,Unitary Authority,129410,Liverpool City Region,North West,BBC Radio Merseyside,North West,Liverpool,North West
E06000007,Warrington,Unitary Authority,210014,Cheshire,North West,BBC Radio Merseyside,North West,Liverpool,North West
E07000004,Aylesbury Vale,Non-metropolitan District,203219,Buckinghamshire,South East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000005,Chiltern,Non-metropolitan District,96046,Buckinghamshire,South East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000006,South Bucks,Non-metropolitan District,70440,Buckinghamshire,South East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000007,Wycombe,Non-metropolitan District,174268,Buckinghamshire,South East,BBC Three Counties Radio,BBC East,"Beds, Bucks and Herts",East
E07000008,Cambridge,Non-metropolitan District,124798,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E07000009,East Cambridgeshire,Non-metropolitan District,89840,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E07000010,Fenland,Non-metropolitan District,101850,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E11000001,Greater Manchester (Met County),Metropolitan County,2835686,NA,NA,NA,NA,NA,NA
E08000001,Bolton,Metropolitan District,287550,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000002,Bury,Metropolitan District,190990,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000003,Manchester,Metropolitan District,552858,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000004,Oldham,Metropolitan District,237110,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000005,Rochdale,Metropolitan District,222412,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000006,Salford,Metropolitan District,258834,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000007,Stockport,Metropolitan District,293423,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000008,Tameside,Metropolitan District,226493,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000009,Trafford,Metropolitan District,237354,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E08000010,Wigan,Metropolitan District,328662,Greater Manchester,North West,BBC Radio Manchester,North West,Manchester,North West
E07000011,Huntingdonshire,Non-metropolitan District,177963,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
E07000012,South Cambridgeshire,Non-metropolitan District,159086,Cambridgeshire,East,BBC Radio Cambridgeshire,BBC East,Cambridgeshire,East
